match_id,match_date,winner,fighter1_name,fighter1_weight,fighter1_height,fighter1_reach,fighter1_age,fighter1_power_factor,fighter1_experience_factor,fighter1_wins,fighter1_losses,fighter1_knockouts,fighter1_final_hp,fighter1_final_sp,fighter2_name,fighter2_weight,fighter2_height,fighter2_reach,fighter2_age,fighter2_power_factor,fighter2_experience_factor,fighter2_wins,fighter2_losses,fighter2_knockouts,fighter2_final_hp,fighter2_final_sp,ko_happened
25,2024-12-26 21:12:45,吳十一,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,45,73,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,70,True
26,2024-12-26 21:12:58,林七,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,73,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,18,83,True
27,2024-12-26 21:13:20,鄭十二,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,10,90,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,80,True
28,2024-12-26 21:13:34,鄭十二,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,90,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,51,85,True
29,2024-12-26 21:13:47,吳十一,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,67,85,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,70,True
30,2024-12-26 21:13:58,李四,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,78,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,55,100,True
31,2024-12-26 21:14:11,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,67,100,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,85,True
32,2024-12-26 21:14:23,張三,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,75,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,53,90,True
33,2024-12-26 21:14:33,張三,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,80,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,46,85,True
34,2024-12-26 21:14:51,鄭十二,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,88,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,75,85,True
35,2024-12-26 21:15:05,鄭十二,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,4,74,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,80,True
36,2024-12-26 21:15:21,王五,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,0,68,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,37,93,True
37,2024-12-26 21:15:36,孫九,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,75,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,34,80,True
38,2024-12-26 21:15:48,趙八,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,80,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,51,90,True
39,2024-12-26 21:15:57,林七,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,90,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,19,93,True
40,2024-12-26 21:16:18,王五,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,73,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,89,93,True
41,2024-12-26 21:16:31,孫九,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,95,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,11,93,True
42,2024-12-26 21:16:56,趙八,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,74,90,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,80,True
43,2024-12-26 21:17:05,孫九,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,85,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,88,95,True
44,2024-12-26 21:17:15,李四,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,100,100,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,0,88,True
45,2024-12-26 21:17:30,林七,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,70,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,100,98,True
46,2024-12-26 21:17:40,趙八,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,85,95,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,65,True
47,2024-12-26 21:17:51,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,54,90,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,81,True
48,2024-12-26 21:18:08,趙八,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,83,93,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,65,True
49,2024-12-26 21:18:19,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,26,98,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,90,True
50,2024-12-26 21:18:43,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,62,88,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,85,True
51,2024-12-26 21:18:55,林七,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,89,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,100,100,True
52,2024-12-26 21:19:07,李四,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,85,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,65,85,True
53,2024-12-26 21:19:18,張三,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,90,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,53,90,True
54,2024-12-26 21:19:30,陳六,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,78,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,57,90,True
55,2024-12-26 21:19:44,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,29,78,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,75,True
56,2024-12-26 21:20:03,張三,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,73,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,45,85,True
57,2024-12-26 21:20:14,鄭十二,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,75,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,51,85,True
58,2024-12-26 21:20:24,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,56,90,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,75,True
59,2024-12-26 21:20:37,吳十一,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,54,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,81,100,True
60,2024-12-26 21:20:52,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,14,71,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,61,True
61,2024-12-26 21:21:12,李四,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,85,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,91,95,True
62,2024-12-26 21:21:19,王五,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,83,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,75,93,True
63,2024-12-26 21:21:34,張三,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,88,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,85,91,True
64,2024-12-26 21:21:49,張三,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,85,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,100,100,True
65,2024-12-26 21:21:59,陳六,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,95,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,91,95,True
66,2024-12-26 21:22:08,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,58,85,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,75,True
67,2024-12-26 21:22:18,鄭十二,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,73,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,54,90,True
68,2024-12-26 21:22:31,吳十一,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,12,100,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,0,85,True
69,2024-12-26 21:22:48,李四,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,85,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,47,85,True
70,2024-12-26 21:22:59,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,88,95,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,69,True
71,2024-12-26 21:23:11,周十,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,100,100,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,68,True
72,2024-12-26 21:23:22,孫九,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,4,83,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,0,83,True
73,2024-12-26 21:23:39,李四,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,75,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,13,75,True
74,2024-12-26 21:23:51,陳六,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,90,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,38,88,True
75,2024-12-26 21:24:04,陳六,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,90,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,59,90,True
76,2024-12-26 21:24:14,鄭十二,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,82,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,42,90,True
77,2024-12-26 21:24:32,李四,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,93,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,19,95,True
78,2024-12-26 21:24:50,吳十一,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,75,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,59,95,True
79,2024-12-26 21:25:03,吳十一,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,30,77,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,88,True
80,2024-12-26 21:25:25,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,63,85,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,80,True
81,2024-12-26 21:25:38,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,5,100,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,71,True
82,2024-12-26 21:25:55,王五,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,76,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,9,76,True
83,2024-12-26 21:26:15,孫九,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,90,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,89,95,True
84,2024-12-26 21:26:23,孫九,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,43,75,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,83,True
85,2024-12-26 21:26:37,鄭十二,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,80,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,83,95,True
86,2024-12-26 21:26:48,周十,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,74,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,80,95,True
87,2024-12-26 21:27:01,王五,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,73,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,80,90,True
88,2024-12-26 21:27:12,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,74,90,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,85,True
89,2024-12-26 21:27:22,趙八,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,80,90,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,84,True
90,2024-12-26 21:27:38,孫九,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,100,100,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,80,True
91,2024-12-26 21:27:45,王五,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,0,66,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,54,95,True
92,2024-12-26 21:28:03,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,34,76,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,68,True
93,2024-12-26 21:28:19,孫九,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,80,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,62,95,True
94,2024-12-26 21:28:30,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,56,100,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,75,True
95,2024-12-26 21:28:44,周十,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,85,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,30,90,True
96,2024-12-26 21:28:56,李四,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,0,75,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,43,85,True
97,2024-12-26 21:29:06,李四,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,90,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,76,95,True
98,2024-12-26 21:29:18,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,46,81,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,67,True
99,2024-12-26 21:29:40,鄭十二,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,70,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,100,100,True
100,2024-12-26 21:29:52,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,80,100,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,95,True
101,2024-12-26 21:30:06,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,41,88,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,95,True
102,2024-12-26 21:30:20,趙八,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,88,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,46,100,True
103,2024-12-26 21:30:32,林七,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,0,70,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,24,76,True
104,2024-12-26 21:30:49,孫九,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,55,90,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,80,True
105,2024-12-26 21:30:58,孫九,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,78,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,59,90,True
106,2024-12-26 21:31:10,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,100,100,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,70,True
107,2024-12-26 21:31:18,張三,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,93,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,16,78,True
108,2024-12-26 21:31:42,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,25,71,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,70,True
109,2024-12-26 21:31:55,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,100,100,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,85,True
110,2024-12-26 21:32:05,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,71,95,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,73,True
111,2024-12-26 21:32:15,孫九,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,0,71,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,19,95,True
112,2024-12-26 21:32:28,李四,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,80,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,58,76,True
113,2024-12-26 21:32:42,孫九,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,78,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,19,76,True
114,2024-12-26 21:32:59,吳十一,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,85,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,10,78,True
115,2024-12-26 21:33:16,張三,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,75,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,79,86,True
116,2024-12-26 21:33:29,李四,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,88,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,30,83,True
117,2024-12-26 21:33:48,吳十一,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,88,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,15,74,True
118,2024-12-26 21:34:07,趙八,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,80,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,57,85,True
119,2024-12-26 21:34:18,孫九,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,83,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,70,90,True
120,2024-12-26 21:34:29,陳六,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,78,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,74,95,True
121,2024-12-26 21:34:40,周十,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,0,85,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,64,90,True
122,2024-12-26 21:34:54,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,1,98,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,84,True
123,2024-12-26 21:35:15,李四,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,65,90,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,80,True
124,2024-12-26 21:35:24,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,50,85,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,80,True
125,2024-12-26 21:35:36,趙八,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,73,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,75,95,True
126,2024-12-26 21:35:46,趙八,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,80,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,89,93,True
127,2024-12-26 21:35:56,周十,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,27,80,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,80,True
128,2024-12-26 21:36:11,李四,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,0,91,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,58,95,True
129,2024-12-26 21:36:27,鄭十二,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,41,85,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,90,True
130,2024-12-26 21:36:37,林七,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,75,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,5,80,True
131,2024-12-26 21:36:51,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,69,95,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,78,True
132,2024-12-26 21:37:02,李四,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,18,95,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,86,True
133,2024-12-26 21:37:21,鄭十二,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,50,95,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,75,True
134,2024-12-26 21:37:33,趙八,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,64,90,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,75,True
135,2024-12-26 21:37:44,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,65,90,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,75,True
136,2024-12-26 21:37:55,孫九,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,75,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,100,100,True
137,2024-12-26 21:38:04,張三,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,73,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,62,90,True
