match_id,winner,victory_condition,rounds_completed,boxerA_name,boxerA_weight,boxerA_height,boxerA_reach,boxerA_power,boxerA_speed,boxerA_stamina,boxerA_defense,boxerA_chin,boxerA_experience,boxerB_name,boxerB_weight,boxerB_height,boxerB_reach,boxerB_power,boxerB_speed,boxerB_stamina,boxerB_defense,boxerB_chin,boxerB_experience,total_punches_A,total_punches_B,total_hits_A,total_hits_B,total_knockdowns_A,total_knockdowns_B,total_points_A,total_points_B,total_damage_dealt_A,total_damage_dealt_B,total_stamina_used_A,total_stamina_used_B,hit_rate_A,hit_rate_B,final_hp_A,final_hp_B,final_stamina_A,final_stamina_B,total_A_jab,total_B_jab,total_A_cross,total_B_cross,total_A_lead_hook,total_B_lead_hook,total_A_rear_hook,total_B_rear_hook,total_A_lead_uppercut,total_B_lead_uppercut,total_A_rear_uppercut,total_B_rear_uppercut
95157,Boxer_A_13,KO,1,Boxer_A_13,63.4,168,190,65,71,65,88,93,62,Boxer_B_13,84.7,181,176,84,64,70,70,79,33,19,18,7,4,0,0,15,9,115.35595500000001,82.74802199999999,16.200000000000003,16.3,36.84,22.22,17.25,0.0,83.8,83.7,4,3,4,1,1,5,5,3,1,3,4,3
90067,Boxer_B_14,KO,1,Boxer_A_14,91.7,182,194,89,97,94,92,75,3,Boxer_B_14,91.7,190,189,66,87,99,99,85,93,9,9,3,5,0,1,6,12,60.3865,103.97887500000002,7.3,7.1,33.33,55.56,0.0,29.61,92.7,92.9,1,3,4,0,1,2,0,2,2,1,1,1
78717,Boxer_B_15,KO,1,Boxer_A_15,62.9,193,171,70,90,87,90,88,72,Boxer_B_15,86.0,195,177,79,75,79,61,86,84,20,20,5,5,1,0,12,11,97.00089000000003,93.08317200000003,16.299999999999997,16.0,25.0,25.0,0.0,3.0,83.7,84.0,5,6,4,2,2,4,3,1,3,5,3,2
82786,Boxer_A_16,KO,1,Boxer_A_16,84.6,186,197,70,89,62,62,64,44,Boxer_B_16,85.1,193,171,72,89,77,93,99,87,14,13,6,1,0,0,16,4,109.71756249999999,37.32710399999999,13.600000000000001,12.1,42.86,7.69,62.67,0.0,86.4,87.9,2,3,0,0,0,3,7,2,5,1,0,4
69308,Boxer_B_17,KO,1,Boxer_A_17,91.7,175,170,90,95,96,100,72,96,Boxer_B_17,65.9,172,178,94,95,94,86,76,14,8,8,3,3,0,0,3,10,41.13855,120.98176000000001,6.4,8.2,37.5,37.5,0.0,58.86,93.6,91.8,4,0,0,2,0,0,0,3,2,1,2,2
41108,Boxer_A_18,KO,1,Boxer_A_18,89.4,170,175,96,96,70,81,65,87,Boxer_B_18,86.1,188,185,74,75,85,67,86,35,5,4,5,1,0,1,11,3,134.74526400000002,29.340630000000004,3.9999999999999996,3.1,100.0,25.0,70.66,-10.0,96.0,96.9,2,1,0,0,1,1,0,2,1,0,1,0
18320,Boxer_B_19,KO,1,Boxer_A_19,73.9,195,195,69,92,61,79,66,97,Boxer_B_19,73.2,178,194,74,82,71,76,91,85,10,10,3,4,2,0,6,9,51.40979549999999,94.38296699999998,9.899999999999999,8.399999999999999,30.0,40.0,-10.0,48.59,90.1,91.6,1,4,0,1,4,0,0,0,3,2,2,3
38128,Boxer_A_20,KO,1,Boxer_A_20,74.4,187,178,90,86,75,76,81,15,Boxer_B_20,94.4,172,194,65,65,84,95,99,3,9,8,4,3,1,1,10,11,97.5288825,80.79981000000001,8.2,8.200000000000001,44.44,37.5,9.2,0.0,91.8,91.8,2,0,1,2,1,0,1,3,2,1,2,2
65404,Boxer_B_21,KO,1,Boxer_A_21,77.3,182,197,69,89,96,70,77,13,Boxer_B_21,77.3,171,186,86,83,77,72,99,89,9,9,4,4,0,0,14,10,97.3116315,105.31192349999999,9.7,6.800000000000001,44.44,44.44,0.0,2.69,90.3,93.2,1,4,1,1,0,0,2,1,1,1,4,2
46833,Boxer_A_22,KO,1,Boxer_A_22,75.8,171,198,98,80,81,95,85,99,Boxer_B_22,75.5,189,191,68,90,90,96,77,100,13,12,5,3,0,0,10,8,123.05928600000004,65.705595,9.799999999999999,11.8,38.46,25.0,34.29,0.0,90.2,88.2,2,2,6,2,0,0,2,2,3,2,0,4
38311,Boxer_A_23,KO,1,Boxer_A_23,76.4,174,172,90,76,90,70,100,68,Boxer_B_23,90.5,176,197,66,82,96,76,66,50,4,3,3,0,0,1,8,0,94.88807999999999,0.0,3.4000000000000004,3.5999999999999996,75.0,0.0,100.0,-4.89,96.6,96.4,0,0,2,0,1,0,0,1,0,1,1,1
93113,Boxer_A_24,KO,1,Boxer_A_24,69.8,182,190,95,98,90,80,99,26,Boxer_B_24,77.6,165,181,62,70,73,90,90,86,11,10,5,1,0,0,11,4,114.9317125,24.396751999999996,8.799999999999999,11.399999999999999,45.45,10.0,75.6,0.0,91.2,88.6,2,0,2,1,2,1,4,2,0,2,1,4
29360,Boxer_B_25,KO,1,Boxer_A_25,70.6,183,180,94,83,91,99,76,28,Boxer_B_25,78.1,191,197,82,65,83,88,78,36,11,11,0,4,0,0,0,11,0.0,106.14375199999998,8.599999999999998,10.2,0.0,36.36,0.0,100.0,91.4,89.8,2,2,3,2,2,0,2,3,1,1,1,3
55267,Boxer_B_26,KO,1,Boxer_A_26,81.8,173,191,84,84,95,86,68,51,Boxer_B_26,88.1,187,188,81,64,86,87,75,40,12,12,0,4,0,0,0,9,0.0,101.945547,11.700000000000001,9.399999999999999,0.0,33.33,0.0,100.0,88.3,90.6,3,2,1,4,0,2,2,1,1,2,5,1
36800,Boxer_B_27,KO,1,Boxer_A_27,64.8,178,176,98,100,82,86,91,66,Boxer_B_27,82.7,194,178,82,93,100,76,95,47,9,9,3,4,1,0,6,13,72.652545,114.26339199999995,7.7,10.2,33.33,44.44,0.0,27.35,92.3,89.8,1,0,2,0,2,1,2,3,1,3,1,2
90822,Boxer_A_28,KO,1,Boxer_A_28,90.8,195,182,72,96,67,83,86,21,Boxer_B_28,89.4,169,196,65,94,98,92,99,81,16,15,6,6,0,0,16,10,110.7162,81.68043000000002,14.100000000000001,12.2,37.5,40.0,18.32,0.0,85.9,87.8,1,4,4,2,2,2,6,2,2,4,1,1
31110,Boxer_B_29,KO,1,Boxer_A_29,69.5,165,178,60,83,71,60,63,37,Boxer_B_29,83.4,194,185,62,65,98,96,73,85,16,16,3,5,1,0,5,13,39.822120000000005,114.47363800000005,13.5,11.599999999999998,18.75,31.25,-10.0,60.18,86.5,88.4,3,2,2,7,4,4,3,1,2,1,2,1
70918,Boxer_A_30,KO,1,Boxer_A_30,97.6,183,198,86,93,60,78,91,84,Boxer_B_30,68.4,185,180,93,69,91,92,78,41,9,8,4,0,0,0,9,0,100.411063,0.0,6.999999999999999,7.699999999999998,44.44,0.0,100.0,0.0,93.0,92.3,2,1,3,0,1,4,1,0,0,0,2,3
45412,Boxer_A_31,KO,1,Boxer_A_31,65.0,166,195,74,61,75,98,64,94,Boxer_B_31,91.3,176,173,74,73,78,72,76,18,12,11,4,3,0,0,11,7,102.59226799999999,75.64102399999999,11.9,10.2,33.33,27.27,24.36,0.0,88.1,89.8,1,0,1,3,2,2,3,3,3,2,2,1
72249,Boxer_A_32,KO,1,Boxer_A_32,91.9,181,183,61,76,94,97,68,59,Boxer_B_32,91.0,172,177,90,64,69,64,87,14,17,16,6,2,0,0,16,5,112.114645,65.57759999999999,15.999999999999998,14.400000000000002,35.29,12.5,34.42,0.0,84.0,85.6,2,2,2,3,4,2,2,3,4,5,3,1
23116,Boxer_A_33,KO,1,Boxer_A_33,67.9,173,176,86,95,90,64,66,70,Boxer_B_33,74.4,168,184,78,99,71,76,68,32,5,4,4,2,0,1,8,3,98.115336,39.116609999999994,3.7,3.3,80.0,50.0,60.88,0.0,96.3,96.7,1,1,1,0,1,2,2,0,0,0,0,1
87486,Boxer_A_34,KO,1,Boxer_A_34,68.3,173,180,80,62,89,95,98,42,Boxer_B_34,66.0,187,195,91,69,78,74,69,35,18,17,6,4,0,0,11,9,118.09650000000003,83.25954,12.800000000000002,14.100000000000001,33.33,23.53,16.74,0.0,87.2,85.9,6,5,3,1,2,3,5,2,1,4,1,2
76488,Boxer_B_35,KO,1,Boxer_A_35,69.9,184,173,74,67,73,83,79,100,Boxer_B_35,82.0,183,191,71,66,65,91,65,47,13,13,4,4,1,0,7,12,79.32060000000001,100.4588585,10.8,13.3,30.77,30.77,-10.0,20.68,89.2,86.7,2,1,2,3,4,1,2,1,2,2,1,5
76271,Boxer_B_36,KO,1,Boxer_A_36,71.0,167,193,96,63,67,66,84,44,Boxer_B_36,63.2,178,192,97,60,88,89,65,61,7,7,2,4,0,0,5,10,68.9796,123.679171,5.499999999999999,6.199999999999999,28.57,57.14,0.0,31.02,94.5,93.8,1,2,2,0,2,1,1,1,0,2,1,1
14900,Boxer_A_37,KO,1,Boxer_A_37,72.3,182,186,89,82,61,90,79,2,Boxer_B_37,62.0,186,170,74,98,85,60,75,65,3,2,3,1,0,1,8,3,93.76150000000001,26.647103999999995,2.8,1.8,100.0,50.0,73.35,0.0,97.2,98.2,0,0,1,0,1,1,0,1,0,0,1,0
26608,Boxer_A_38,KO,1,Boxer_A_38,60.4,179,197,73,60,62,87,86,88,Boxer_B_38,93.1,181,198,63,61,64,82,74,60,5,4,4,2,0,1,9,4,90.627894,30.329586000000006,4.3999999999999995,3.0999999999999996,80.0,50.0,69.67,0.0,95.6,96.9,0,1,2,1,1,0,0,1,2,1,0,0
86209,Boxer_B_39,KO,1,Boxer_A_39,70.6,184,189,97,78,90,76,62,46,Boxer_B_39,85.4,182,190,90,71,67,89,91,37,19,19,4,3,2,1,8,9,88.74711875,111.83588999999999,16.0,17.1,21.05,15.79,-10.0,1.25,84.0,82.9,4,3,2,1,4,4,4,5,3,5,2,1
49429,Boxer_A_40,KO,1,Boxer_A_40,83.6,176,172,99,83,99,65,75,96,Boxer_B_40,73.6,172,197,95,71,65,81,60,23,4,3,3,0,0,0,8,0,115.05185999999998,0.0,4.199999999999999,2.6,75.0,0.0,100.0,0.0,95.8,97.4,0,0,1,0,0,2,1,1,1,0,1,0
34249,Boxer_B_41,KO,1,Boxer_A_41,92.6,180,189,78,79,80,67,89,92,Boxer_B_41,79.5,183,175,100,85,83,97,68,27,3,3,1,3,1,0,2,7,25.173719999999996,90.77579999999999,3.0,2.6999999999999997,33.33,100.0,0.0,74.83,97.0,97.3,0,1,0,0,2,0,0,0,0,2,1,0
28595,Boxer_B_42,KO,1,Boxer_A_42,71.1,172,200,72,64,63,77,79,98,Boxer_B_42,71.2,191,189,83,92,77,65,70,20,16,16,3,5,0,1,9,13,75.68495999999999,123.30544325000001,15.700000000000001,13.9,18.75,31.25,0.0,14.32,84.3,86.1,1,3,4,2,2,2,1,6,4,0,4,3
82020,Boxer_B_43,KO,1,Boxer_A_43,79.5,178,176,75,69,83,60,100,3,Boxer_B_43,65.7,183,194,96,72,65,64,91,69,3,3,3,3,1,0,10,9,84.80744999999999,90.2304,3.5999999999999996,3.2,100.0,100.0,-0.23,15.19,96.4,96.8,0,0,0,0,0,1,1,1,1,0,1,1
31351,Boxer_A_44,KO,1,Boxer_A_44,89.0,195,178,98,71,89,67,76,32,Boxer_B_44,83.4,195,198,66,71,63,86,85,34,13,12,5,4,0,0,11,8,121.56667250000001,69.81975,11.0,11.100000000000001,38.46,33.33,30.18,0.0,89.0,88.9,2,3,3,0,1,2,4,2,2,2,1,3
27000,Boxer_B_45,KO,1,Boxer_A_45,74.9,179,191,78,64,92,90,99,98,Boxer_B_45,71.4,168,198,63,85,73,85,81,30,12,12,3,6,1,0,7,15,71.754501,100.15361999999999,11.700000000000001,12.2,25.0,50.0,0.0,28.25,88.3,87.8,1,0,2,2,3,4,0,1,3,1,3,4
24878,Boxer_A_46,KO,1,Boxer_A_46,69.9,180,190,80,85,60,86,66,15,Boxer_B_46,87.6,187,175,89,78,68,90,78,71,19,18,5,3,0,1,9,6,91.52196000000002,74.95491,14.899999999999999,14.100000000000001,26.32,16.67,25.05,0.0,85.1,85.9,5,5,5,2,2,2,1,6,3,2,3,1
32640,Boxer_A_47,KO,1,Boxer_A_47,67.2,177,197,87,91,60,68,92,5,Boxer_B_47,78.8,166,186,80,91,98,86,70,18,5,4,4,1,0,0,11,4,125.05467,34.11072,5.1,4.1,80.0,25.0,65.89,0.0,94.9,95.9,1,1,0,0,0,0,2,1,0,0,2,2
88635,Boxer_B_48,KO,1,Boxer_A_48,86.7,170,194,92,81,80,79,68,79,Boxer_B_48,98.3,176,186,82,85,71,86,84,43,7,7,3,5,0,1,8,8,83.28428800000002,101.05556999999999,6.999999999999999,4.6,42.86,71.43,0.0,6.72,93.0,95.4,0,2,2,2,1,2,1,0,1,1,2,0
31211,Boxer_A_49,KO,1,Boxer_A_49,78.5,167,182,76,69,97,99,60,40,Boxer_B_49,80.2,173,176,87,65,85,89,63,21,8,7,3,0,0,2,9,0,89.91803200000001,0.0,8.2,7.099999999999999,37.5,0.0,100.0,0.0,91.8,92.9,0,1,2,0,1,1,1,2,2,1,2,2
96163,Boxer_A_50,KO,1,Boxer_A_50,62.1,192,184,83,78,85,100,95,95,Boxer_B_50,87.0,191,177,90,68,98,64,69,56,20,19,5,4,0,0,11,8,118.61083875000003,76.1859,16.9,17.2,25.0,21.05,23.81,0.0,83.1,82.8,3,2,5,3,4,5,2,2,3,5,3,2
78606,Boxer_B_51,KO,1,Boxer_A_51,91.0,193,196,76,69,80,69,99,89,Boxer_B_51,62.7,166,172,65,92,75,81,62,92,15,15,2,5,0,0,4,16,50.499719999999996,100.95000500000002,13.900000000000002,12.4,13.33,33.33,0.0,49.5,86.1,87.6,1,4,2,2,5,2,3,2,1,3,3,2
69640,Boxer_B_52,KO,1,Boxer_A_52,89.4,178,180,84,71,84,87,61,20,Boxer_B_52,92.5,165,170,80,65,92,93,84,40,16,16,3,5,0,1,6,10,58.31296800000001,109.70158000000002,14.399999999999999,11.500000000000002,18.75,31.25,0.0,31.69,85.6,88.5,2,5,4,4,1,2,3,2,4,1,2,2
55455,Boxer_B_53,KO,1,Boxer_A_53,96.1,191,178,69,98,94,75,77,4,Boxer_B_53,78.8,191,178,72,65,75,96,67,16,17,17,3,4,1,1,7,13,63.98433825,103.04841599999999,16.2,15.500000000000002,17.65,23.53,-10.0,26.02,83.8,84.5,2,3,3,2,3,3,2,3,2,2,5,4
10216,Boxer_B_54,KO,1,Boxer_A_54,71.2,176,177,67,98,62,67,61,27,Boxer_B_54,88.6,195,196,96,97,80,74,66,14,6,6,2,3,0,0,3,8,27.944024999999996,102.18835199999998,5.199999999999999,5.999999999999999,33.33,50.0,0.0,72.06,94.8,94.0,2,0,1,1,0,1,0,2,1,1,2,1
93098,Boxer_A_55,KO,1,Boxer_A_55,99.5,191,196,98,71,88,88,80,80,Boxer_B_55,75.2,172,183,63,98,89,61,91,36,6,5,3,1,0,0,10,2,109.35163399999998,18.3708,6.199999999999999,4.6,50.0,20.0,81.63,0.0,93.8,95.4,0,0,1,0,2,2,0,3,1,0,2,0
20632,Boxer_B_56,KO,1,Boxer_A_56,76.6,191,198,67,91,89,95,82,47,Boxer_B_56,76.4,167,200,94,89,75,72,99,54,10,10,4,4,0,0,8,9,58.44827075,103.45231100000002,9.4,8.0,40.0,40.0,0.0,41.55,90.6,92.0,2,2,1,2,1,1,2,3,1,2,3,0
59295,Boxer_B_57,KO,1,Boxer_A_57,74.8,175,192,89,67,87,85,60,51,Boxer_B_57,64.3,188,191,91,68,93,72,93,51,7,7,2,3,0,0,4,10,43.52249075,124.11308,5.8,6.1,28.57,42.86,0.0,56.48,94.2,93.9,2,1,2,2,0,1,0,1,1,0,2,2
47497,Boxer_B_58,KO,1,Boxer_A_58,65.1,194,199,93,98,83,61,74,78,Boxer_B_58,98.8,194,199,79,100,62,100,83,84,14,14,5,5,0,0,8,11,96.93066825,113.76924300000002,13.800000000000002,11.8,35.71,35.71,0.0,3.07,86.2,88.2,2,2,2,4,3,2,0,3,1,0,6,3
24579,Boxer_A_59,KO,1,Boxer_A_59,63.6,193,197,65,91,92,97,84,1,Boxer_B_59,84.0,191,191,73,99,93,64,78,42,16,15,7,1,0,0,15,3,117.26487500000002,23.549508,13.3,13.8,43.75,6.67,76.45,0.0,86.7,86.2,3,2,4,3,2,2,3,2,1,3,3,3
22300,Boxer_B_60,KO,1,Boxer_A_60,84.5,186,193,73,88,96,85,85,72,Boxer_B_60,66.5,177,199,76,64,75,64,76,15,18,18,5,6,0,0,9,11,86.50770100000001,103.51656,16.599999999999998,14.7,27.78,33.33,0.0,13.49,83.4,85.3,2,3,3,4,2,3,4,5,6,1,1,2
31026,Boxer_B_61,KO,1,Boxer_A_61,83.8,189,188,95,74,91,75,88,51,Boxer_B_61,73.0,165,180,75,97,74,67,95,71,11,11,2,6,0,1,4,14,42.59823750000001,125.93490000000003,8.5,8.899999999999999,18.18,54.55,0.0,47.4,91.5,91.1,3,3,1,1,4,2,1,2,0,2,2,1
50901,Boxer_A_62,KO,1,Boxer_A_62,63.7,177,182,65,86,92,94,78,1,Boxer_B_62,83.9,171,195,67,97,72,71,61,93,11,10,5,4,0,0,10,8,104.32036875000003,75.0597985,7.499999999999999,8.1,45.45,40.0,24.94,0.0,92.5,91.9,3,3,3,1,3,2,0,0,2,3,0,1
40239,Boxer_A_63,KO,1,Boxer_A_63,61.9,170,193,98,76,93,77,94,30,Boxer_B_63,96.2,180,183,61,68,81,69,99,92,8,7,4,4,1,0,11,9,111.10999900000002,62.012173000000004,5.5,5.6,50.0,57.14,27.99,0.0,94.5,94.4,3,2,1,1,2,2,1,0,0,0,1,2
60644,Boxer_B_64,KO,1,Boxer_A_64,63.4,178,186,67,96,63,97,66,22,Boxer_B_64,67.5,179,191,87,74,94,91,76,63,5,5,2,3,0,0,4,9,35.111685,101.98418399999997,3.5999999999999996,4.799999999999999,40.0,60.0,0.0,64.89,96.4,95.2,2,0,1,2,0,0,1,1,0,1,1,1
58205,Boxer_A_65,KO,1,Boxer_A_65,63.1,178,197,85,81,84,90,73,40,Boxer_B_65,88.7,167,195,67,94,74,81,92,10,16,15,4,3,0,0,12,4,106.22637000000003,36.914169250000015,15.6,9.899999999999997,25.0,20.0,63.09,0.0,84.4,90.1,2,5,1,5,2,1,5,2,3,1,3,1
59843,Boxer_B_66,KO,1,Boxer_A_66,91.8,179,171,86,99,86,90,86,41,Boxer_B_66,95.1,173,175,82,87,64,88,86,85,16,16,4,6,0,0,6,13,65.18189400000001,126.48778800000002,10.4,14.2,25.0,37.5,0.0,34.82,89.6,85.8,4,2,6,3,4,2,1,5,0,2,1,2
90148,Boxer_B_67,KO,1,Boxer_A_67,89.6,168,191,100,99,87,74,85,19,Boxer_B_67,93.5,166,188,95,90,85,65,98,84,8,8,4,6,1,0,9,10,95.52555,118.92135625,6.3999999999999995,5.3,50.0,75.0,0.0,4.47,93.6,94.7,2,3,2,1,0,1,2,3,1,0,1,0
55296,Boxer_B_68,KO,1,Boxer_A_68,82.9,192,185,82,91,60,71,91,79,Boxer_B_68,91.4,173,196,91,96,75,93,86,90,7,7,3,4,0,0,6,12,59.62154400000001,124.11644699999998,4.5,7.399999999999999,42.86,57.14,0.0,40.38,95.5,92.6,1,0,4,1,1,1,1,2,0,1,0,2
46777,Boxer_A_69,KO,1,Boxer_A_69,70.4,194,195,73,97,71,71,86,17,Boxer_B_69,94.5,187,196,89,83,78,64,99,80,8,7,5,1,0,1,12,2,91.31644825000001,24.451860000000003,6.4,5.7,62.5,14.29,75.55,0.0,93.6,94.3,2,1,3,2,0,1,0,2,1,0,2,1
10828,Boxer_B_70,KO,1,Boxer_A_70,81.0,194,195,65,94,78,78,74,92,Boxer_B_70,98.4,179,180,81,93,91,68,66,83,9,9,3,4,1,0,5,11,53.326975000000004,107.84680200000003,6.8,7.699999999999998,33.33,44.44,0.0,46.67,93.2,92.3,2,1,2,3,2,1,1,2,2,0,0,2
15135,Boxer_B_71,KO,1,Boxer_A_71,72.4,185,198,69,98,73,89,69,73,Boxer_B_71,64.1,183,175,100,90,83,89,76,42,10,10,3,4,0,0,6,9,51.669684,126.60495000000003,7.699999999999998,8.299999999999999,30.0,40.0,0.0,48.33,92.3,91.7,1,1,4,4,1,1,3,1,1,2,0,1
83363,Boxer_A_72,KO,1,Boxer_A_72,62.8,179,172,71,71,61,71,62,71,Boxer_B_72,66.7,167,174,95,75,89,82,87,83,14,13,6,3,1,2,13,5,101.03564474999999,67.60499249999998,11.1,12.9,42.86,23.08,22.4,0.0,88.9,87.1,5,3,1,0,0,0,5,3,1,4,2,3
63030,Boxer_A_73,KO,1,Boxer_A_73,75.0,193,177,90,99,99,74,94,21,Boxer_B_73,81.3,181,175,72,96,80,99,88,77,8,7,4,3,0,2,10,7,106.84800000000003,55.17936,6.5,6.2,50.0,42.86,44.82,-10.0,93.5,93.8,1,0,2,2,2,1,1,3,2,1,0,0
65252,Boxer_A_74,KO,1,Boxer_A_74,87.1,170,194,99,84,98,66,86,82,Boxer_B_74,86.7,171,194,73,82,61,69,99,29,8,7,4,4,0,2,9,11,90.43095600000001,95.37012,7.3999999999999995,7.499999999999999,50.0,57.14,4.63,0.0,92.6,92.5,0,1,2,0,1,1,3,1,2,1,0,3
32217,Boxer_A_75,KO,1,Boxer_A_75,62.2,178,197,67,86,64,99,71,95,Boxer_B_75,66.9,185,189,84,61,66,64,76,32,11,10,5,4,0,0,12,8,100.11970800000002,94.79603700000001,8.2,8.700000000000001,45.45,40.0,5.2,0.0,91.8,91.3,2,3,2,0,3,1,4,3,0,1,0,2
52951,Boxer_A_76,KO,1,Boxer_A_76,77.4,182,183,84,77,99,77,67,97,Boxer_B_76,78.1,167,174,75,64,86,81,87,36,14,13,5,3,0,0,10,6,101.90611200000001,63.02953125000002,11.299999999999999,10.4,35.71,23.08,36.97,0.0,88.7,89.6,3,2,2,2,4,5,1,1,3,3,1,0
77372,Boxer_A_77,KO,1,Boxer_A_77,84.5,186,179,95,75,75,79,72,4,Boxer_B_77,62.7,165,194,63,85,77,60,94,52,11,10,4,4,1,1,10,7,101.49553000000002,66.86064,10.2,9.000000000000002,36.36,40.0,23.14,0.0,89.8,91.0,0,2,3,0,2,4,3,0,2,2,1,2
52477,Boxer_A_78,KO,1,Boxer_A_78,70.1,181,187,79,85,70,74,60,16,Boxer_B_78,91.0,181,174,91,73,65,98,74,14,17,16,4,3,0,0,11,4,100.455768,56.947799999999994,15.0,12.700000000000001,23.53,18.75,43.05,0.0,85.0,87.3,2,5,5,2,2,1,3,4,1,2,4,2
59552,Boxer_A_79,KO,1,Boxer_A_79,86.9,169,172,84,65,60,61,84,78,Boxer_B_79,72.0,174,198,63,76,94,94,72,14,6,5,3,2,0,0,10,4,114.50880000000001,28.238112,6.0,5.0,50.0,40.0,71.76,0.0,94.0,95.0,0,0,1,2,2,0,0,1,2,0,1,2
